filepath,species_id,species_name,modality,video_src
/data/CHIRP/data/birds525/clips/american_robin/img_0000.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0001.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0002.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0005.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0006.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0007.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0008.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0009.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0010.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0011.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0012.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0013.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0014.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0015.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0017.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0018.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0019.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0020.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0022.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0023.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0024.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0025.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0026.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0028.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0029.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0030.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0032.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0033.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0034.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0035.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0036.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0037.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0038.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0039.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0041.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0042.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0043.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0046.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0048.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0049.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0050.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0052.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0053.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0054.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0056.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0057.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0059.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0060.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0061.jpg,2,American Robin,image,
/data/CHIRP/data/birds525/clips/american_robin/img_0063.jpg,2,American Robin,image,
